epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,579.651,1.92589,2.14467,0.714,0.81349,0.78175,0.84911,0.48822,0.40469,3.24445,0.03464,0.000660767,0.000660767,0.000660767
2,1171.91,0.63297,0.67677,0.07595,0.73619,0.66445,0.75723,0.47791,0.46097,0.81392,0.05895,0.00131648,0.00131648,0.00131648
3,1789.15,0.60174,0.97217,0.05648,0.66016,0.43939,0.49393,0.28518,0.77122,1.12795,0.12094,0.0019612,0.0019612,0.0019612
4,2493.65,0.7127,0.77877,0.10076,0.51934,0.68651,0.52301,0.33205,0.44296,0.93826,0.05837,0.0019505,0.0019505,0.0019505
5,3240.89,0.593,0.55474,0.07017,0.81124,0.88685,0.88155,0.5544,0.37442,1.0449,0.04733,0.001934,0.001934,0.001934
6,3907.97,0.59192,0.62846,0.06036,0.79814,0.89433,0.82081,0.49586,0.42596,2.25927,0.04762,0.0019175,0.0019175,0.0019175
7,4593.7,0.56026,0.60518,0.05254,0.71467,0.8051,0.7226,0.43154,0.44065,0.64321,0.05758,0.001901,0.001901,0.001901
8,5504.6,0.57976,0.58129,0.05616,0.71759,0.88733,0.78788,0.45218,0.39428,0.63713,0.05056,0.0018845,0.0018845,0.0018845
9,6309.58,0.5126,0.54036,0.04536,0.90261,0.73554,0.87182,0.49259,0.4238,0.59434,0.04378,0.001868,0.001868,0.001868
10,7168.49,0.55193,0.58273,0.04837,0.81795,0.8373,0.85277,0.45224,0.44188,0.55725,0.04284,0.0018515,0.0018515,0.0018515
11,7953.05,0.49391,0.51082,0.04187,0.69105,0.94048,0.77127,0.49343,0.38574,0.72815,0.05389,0.001835,0.001835,0.001835
12,8596.05,0.53668,0.51734,0.04953,0.93213,0.82937,0.9167,0.57999,0.36563,0.4926,0.0367,0.0018185,0.0018185,0.0018185
13,9407.69,0.57167,0.53318,0.0549,0.94737,0.85715,0.9226,0.58124,0.34128,0.42828,0.02451,0.001802,0.001802,0.001802
14,10022.2,0.55192,0.5588,0.04799,0.82441,0.7639,0.85833,0.54336,0.38986,0.60872,0.03651,0.0017855,0.0017855,0.0017855
15,10577.6,0.54187,0.65134,0.04826,0.78416,0.89286,0.88196,0.54427,0.35066,1.69885,0.02583,0.001769,0.001769,0.001769
16,11211.2,0.56997,0.52225,0.05389,0.90586,0.84007,0.88935,0.56556,0.37753,0.48873,0.02866,0.0017525,0.0017525,0.0017525
17,11843.6,0.52277,0.49366,0.05178,0.91354,0.83861,0.91788,0.61802,0.37037,0.5559,0.03887,0.001736,0.001736,0.001736
18,12391.1,0.5016,0.43828,0.04967,0.90242,0.85714,0.91472,0.59061,0.34022,0.408,0.02357,0.0017195,0.0017195,0.0017195
19,12973.9,0.49504,0.46263,0.04475,0.87901,0.92254,0.93133,0.59063,0.36906,0.37473,0.03721,0.001703,0.001703,0.001703
20,13634.3,0.47979,0.46795,0.03526,0.90329,0.87302,0.88878,0.57018,0.39929,0.5615,0.06361,0.0016865,0.0016865,0.0016865
21,14285.4,0.46151,0.44483,0.03739,0.89944,0.88889,0.87369,0.53681,0.47808,0.38394,0.06557,0.00167,0.00167,0.00167
22,15034.8,0.43259,0.4342,0.03421,0.90463,0.90335,0.953,0.61304,0.33484,0.56005,0.02285,0.0016535,0.0016535,0.0016535
23,15659,0.45269,0.45103,0.03546,0.92389,0.91529,0.95689,0.64887,0.30524,0.43834,0.0229,0.001637,0.001637,0.001637
24,16224.1,0.44039,0.43253,0.04102,0.92125,0.92851,0.95193,0.6579,0.33679,nan,0.04617,0.0016205,0.0016205,0.0016205
25,16787.2,0.43452,0.40593,0.04013,0.94717,0.92483,0.94391,0.60785,0.35437,0.38461,0.03517,0.001604,0.001604,0.001604
26,17424.5,0.4381,0.44774,0.03888,0.93106,0.84921,0.91117,0.50813,0.46668,0.42307,0.05248,0.0015875,0.0015875,0.0015875
27,17902.5,0.45517,0.43631,0.03846,0.954,0.9052,0.9604,0.59991,0.37423,0.43094,0.03127,0.001571,0.001571,0.001571
28,18443.8,0.50301,0.45415,0.04139,0.91693,0.87606,0.9303,0.51709,0.4405,0.42405,0.03935,0.0015545,0.0015545,0.0015545
29,19027.7,0.46857,0.45093,0.03813,0.93191,0.92857,0.95189,0.50615,0.42512,0.48888,0.03273,0.001538,0.001538,0.001538
30,19596.1,0.48553,0.45487,0.05258,0.9233,0.89683,0.94222,0.56654,0.35581,0.40621,0.02583,0.0015215,0.0015215,0.0015215
31,20162.5,0.42544,0.48519,0.03112,0.91329,0.8777,0.93632,0.61261,0.33621,0.94437,0.0248,0.001505,0.001505,0.001505
