epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2209,2.35788,3.09622,0.92158,0.00806,0.74892,0.00658,0.00263,1.75067,inf,0.81676,0.000652174,0.000652174,0.000652174
2,48.8768,2.09637,1.34194,0.88782,4e-05,0.00433,0,0,nan,nan,nan,0.00130578,0.00130578,0.00130578
3,68.2156,2.10686,1.33289,0.90011,0,0,0,0,nan,nan,nan,0.00194619,0.00194619,0.00194619
4,87.5096,2.17758,1.17962,0.91081,0.53045,0.40693,0.44108,0.18822,1.6589,7.39768,0.7662,0.0019406,0.0019406,0.0019406
5,106.79,2.13992,1.07506,0.89752,0.60925,0.42857,0.48138,0.1523,1.90516,nan,0.80065,0.0019208,0.0019208,0.0019208
6,126.068,1.97758,1.09576,0.8666,0.87023,0.79221,0.82224,0.38374,1.58608,3.70426,0.75049,0.001901,0.001901,0.001901
7,145.411,2.13288,1.09828,0.87944,0.70475,0.27706,0.29455,0.10985,2.06125,2.87701,0.85671,0.0018812,0.0018812,0.0018812
8,164.644,1.99721,1.03258,0.87098,0.89085,0.8658,0.93448,0.40871,1.55687,8.71416,0.74758,0.0018614,0.0018614,0.0018614
9,183.817,1.96559,1.1,0.86615,0.91242,0.78788,0.86541,0.41521,1.53378,1.09555,0.74503,0.0018416,0.0018416,0.0018416
10,203.147,1.88199,0.99839,0.87469,0.88892,0.91775,0.92995,0.41894,1.47958,3.60724,0.72974,0.0018218,0.0018218,0.0018218
11,222.531,1.86775,0.92303,0.8705,0.91214,0.85281,0.91546,0.47176,1.52279,1.04441,0.73656,0.001802,0.001802,0.001802
12,241.978,1.85798,1.02067,0.85335,0.90958,0.7403,0.84765,0.40162,1.46527,3.19411,0.72777,0.0017822,0.0017822,0.0017822
13,261.266,1.77186,0.86666,0.85255,0.90317,0.88828,0.9301,0.53755,1.2345,0.80066,0.69663,0.0017624,0.0017624,0.0017624
14,280.723,1.8444,0.86313,0.86,0.83578,0.81516,0.88041,0.46747,1.2867,8.8359,0.70278,0.0017426,0.0017426,0.0017426
15,300.129,1.71618,0.81163,0.84729,0.91815,0.82554,0.89519,0.41942,1.50864,0.78986,0.7323,0.0017228,0.0017228,0.0017228
16,319.749,1.70399,0.80545,0.8382,0.91192,0.89177,0.92533,0.439,1.43594,0.72719,0.71155,0.001703,0.001703,0.001703
17,339.534,1.7093,0.80443,0.84138,0.9161,0.90909,0.92797,0.45814,1.33509,0.94833,0.70875,0.0016832,0.0016832,0.0016832
18,359.028,1.63353,0.86721,0.82603,0.93023,0.83983,0.91321,0.39789,1.50645,0.74121,0.72541,0.0016634,0.0016634,0.0016634
19,378.33,1.65184,0.93442,0.83158,0.94185,0.78355,0.87299,0.4577,1.37532,0.91325,0.71094,0.0016436,0.0016436,0.0016436
20,397.715,1.74144,0.82038,0.83957,0.91692,0.90776,0.94944,0.49676,1.30487,2.71955,0.70394,0.0016238,0.0016238,0.0016238
21,417.004,1.61604,0.78138,0.84216,0.92778,0.88976,0.93652,0.49263,1.31645,1.68193,0.70248,0.001604,0.001604,0.001604
22,436.294,1.66587,0.7622,0.82489,0.94778,0.94276,0.98526,0.57284,1.18001,1.56907,0.69133,0.0015842,0.0015842,0.0015842
23,455.777,1.61387,0.72884,0.82469,0.88999,0.92208,0.94519,0.54905,1.14883,3.14345,0.6939,0.0015644,0.0015644,0.0015644
24,475.207,1.62603,0.70727,0.83528,0.91638,0.95671,0.96857,0.5186,1.26218,0.70813,0.69647,0.0015446,0.0015446,0.0015446
25,494.658,1.61148,0.75925,0.82855,0.94866,0.87992,0.94896,0.4875,1.37936,0.67138,0.7067,0.0015248,0.0015248,0.0015248
26,514.025,1.52465,0.68283,0.81383,0.93726,0.90909,0.95789,0.5503,1.26512,1.34107,0.69237,0.001505,0.001505,0.001505
27,533.41,1.5737,0.70532,0.83114,0.96404,0.92832,0.97274,0.56559,1.15652,0.79707,0.68423,0.0014852,0.0014852,0.0014852
28,552.77,1.63186,0.72832,0.8457,0.9562,0.94515,0.98152,0.57972,1.20781,0.67114,0.68679,0.0014654,0.0014654,0.0014654
29,572.407,1.46721,0.67357,0.80755,0.90276,0.92439,0.95639,0.54918,1.19808,1.57883,0.69012,0.0014456,0.0014456,0.0014456
