epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2748,1.64542,3.17277,0.96388,0.00099,0.2063,0.00026,0.00011,nan,nan,nan,0.000663704,0.000663704,0.000663704
2,186.389,1.91344,1.5051,1.06062,0.67655,0.69524,0.63126,0.28501,1.41249,13.0896,0.85978,0.00131939,0.00131939,0.00131939
3,276.069,1.95529,1.67633,1.08164,0.54123,0.33524,0.34366,0.16236,1.55603,7.63868,0.91922,0.00196409,0.00196409,0.00196409
4,366.11,1.94286,1.50965,1.07886,0.91024,0.75072,0.7908,0.41047,nan,nan,nan,0.0019505,0.0019505,0.0019505
5,456.862,1.72683,1.31386,1.01366,0.91501,0.79943,0.84611,0.43037,1.2382,2.0331,0.79533,0.001934,0.001934,0.001934
6,547.017,1.67017,1.17013,0.98599,0.9234,0.69914,0.80982,0.44728,1.21565,1.33478,0.75328,0.0019175,0.0019175,0.0019175
7,637.683,1.60326,1.22364,0.98134,0.83947,0.81089,0.87544,0.43492,1.22962,2.95876,0.76558,0.001901,0.001901,0.001901
8,728.18,1.59683,1.06736,0.97819,0.79337,0.80229,0.82774,0.40686,1.24633,1.2276,0.75255,0.0018845,0.0018845,0.0018845
9,818.561,1.53726,0.96165,0.94384,0.94934,0.87966,0.9248,0.5219,1.16248,1.48111,0.74286,0.001868,0.001868,0.001868
10,909.08,1.56836,1.04922,0.95457,0.94362,0.87393,0.92255,0.51963,1.0595,0.99593,0.71702,0.0018515,0.0018515,0.0018515
11,1000.02,1.53118,0.98059,0.95738,0.87541,0.88585,0.8918,0.54726,1.05329,3.24144,0.70781,0.001835,0.001835,0.001835
12,1090.89,1.46203,0.96,0.93532,0.90733,0.86968,0.90577,0.55229,1.03991,1.00257,0.70479,0.0018185,0.0018185,0.0018185
13,1181.93,1.47384,0.91972,0.93945,0.89022,0.84814,0.87646,0.51281,1.03606,1.95403,0.71049,0.001802,0.001802,0.001802
14,1272.83,1.42714,0.84416,0.92988,0.94829,0.87106,0.91521,0.45069,1.15986,1.22019,0.71665,0.0017855,0.0017855,0.0017855
15,1363.59,1.45513,0.83211,0.92553,0.94561,0.8596,0.92045,0.54603,0.93406,1.11492,0.68213,0.001769,0.001769,0.001769
16,1454.03,1.38509,0.80807,0.92307,0.94521,0.89685,0.93661,0.53894,1.0221,1.52172,0.70172,0.0017525,0.0017525,0.0017525
17,1544.66,1.34908,0.78312,0.91716,0.95166,0.82521,0.88668,0.55645,0.96304,0.9433,0.68569,0.001736,0.001736,0.001736
18,1634.75,1.36211,0.83118,0.91341,0.88722,0.83402,0.86911,0.51883,1.00658,0.89572,0.69291,0.0017195,0.0017195,0.0017195
19,1725.58,1.38156,0.82266,0.91865,0.9352,0.86841,0.90999,0.56778,1.01731,1.5811,0.69545,0.001703,0.001703,0.001703
20,1815.97,1.36698,0.78815,0.91331,0.94626,0.89971,0.91944,0.56215,0.96549,1.14616,0.68401,0.0016865,0.0016865,0.0016865
21,1906.22,1.32533,0.76894,0.90225,0.96323,0.82566,0.91881,0.54399,1.06878,1.00794,0.70366,0.00167,0.00167,0.00167
22,1997.08,1.33708,0.78945,0.90298,0.95834,0.89112,0.94301,0.60468,0.91988,1.08208,0.67779,0.0016535,0.0016535,0.0016535
23,2087.77,1.34249,0.80261,0.89917,0.94183,0.92786,0.95143,0.56653,0.91852,0.54647,0.67569,0.001637,0.001637,0.001637
24,2178.33,1.29243,0.73939,0.8891,0.94545,0.9255,0.94358,0.60535,0.91819,0.73466,0.67428,0.0016205,0.0016205,0.0016205
25,2269.43,1.25728,0.68385,0.89306,0.92255,0.89112,0.9263,0.58418,0.89229,1.54579,0.66686,0.001604,0.001604,0.001604
26,2359.89,1.28035,0.72767,0.88004,0.93048,0.87393,0.91944,0.55027,0.97602,1.09264,0.68046,0.0015875,0.0015875,0.0015875
27,2450.71,1.27926,0.7239,0.89304,0.98083,0.91404,0.95564,0.57533,0.91655,0.92926,0.67172,0.001571,0.001571,0.001571
28,2541.51,1.29383,0.78095,0.88073,0.9592,0.91404,0.94726,0.5983,0.86551,1.06187,0.66684,0.0015545,0.0015545,0.0015545
29,2632.39,1.28392,0.76154,0.89923,0.93666,0.91117,0.92548,0.5515,1.00112,0.98068,0.68489,0.001538,0.001538,0.001538
30,2722.8,1.25972,0.72608,0.89189,0.94862,0.88252,0.94077,0.6002,0.88063,0.78981,0.66788,0.0015215,0.0015215,0.0015215
31,2813.38,1.23758,0.68332,0.88043,0.94907,0.83668,0.90628,0.58567,0.88959,1.30747,0.67215,0.001505,0.001505,0.001505
