epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4684,2.07423,6.15446,1.01731,0.00026,0.0303,1e-05,0,1.36647,36.7666,0.79858,0.000652174,0.000652174,0.000652174
2,34.1821,1.78639,3.34257,0.99315,0.00719,0.83983,0.04505,0.02128,1.33992,68.6646,0.79977,0.00130578,0.00130578,0.00130578
3,79.4416,1.70677,2.35654,0.98727,0.9086,0.73157,0.90034,0.51192,1.20086,37.9209,0.77826,0.00194619,0.00194619,0.00194619
4,92.0644,1.6812,2.30101,0.96612,0.73562,0.91342,0.81914,0.4401,1.23319,18.97,0.79054,0.0019406,0.0019406,0.0019406
5,104.752,1.62048,2.04885,0.96781,0.93784,0.91439,0.9624,0.55858,1.13012,7.07296,0.76212,0.0019208,0.0019208,0.0019208
6,117.589,1.54211,2.32566,0.94406,0.8973,0.90773,0.94809,0.54431,1.24186,9.68435,0.78408,0.001901,0.001901,0.001901
7,130.284,1.63313,1.81494,0.95851,0.93529,0.88745,0.9603,0.52029,1.22444,9.45813,0.77922,0.0018812,0.0018812,0.0018812
8,143.026,1.56248,1.84142,0.9554,0.94839,0.90909,0.95451,0.56416,1.16309,2.6782,0.77477,0.0018614,0.0018614,0.0018614
9,155.815,1.55329,1.34421,0.94226,0.95492,0.92641,0.94794,0.56018,1.12431,3.94017,0.77218,0.0018416,0.0018416,0.0018416
10,168.58,1.59305,1.40075,0.96278,0.93237,0.89516,0.94521,0.47234,1.28971,2.96628,0.79317,0.0018218,0.0018218,0.0018218
11,186.562,1.51042,1.22663,0.9496,0.93895,0.93939,0.97677,0.5934,1.12993,2.24403,0.75895,0.001802,0.001802,0.001802
12,204.104,1.54006,1.25793,0.93246,0.97282,0.88745,0.95971,0.48279,1.26499,1.08018,0.78651,0.0017822,0.0017822,0.0017822
13,216.79,1.49432,1.05627,0.92689,0.93052,0.92756,0.97268,0.57349,1.08113,4.61646,0.75156,0.0017624,0.0017624,0.0017624
14,229.442,1.44839,1.00435,0.9207,0.96301,0.96104,0.98369,0.61164,1.05669,2.80704,0.74506,0.0017426,0.0017426,0.0017426
15,248.904,1.42346,0.95563,0.9211,0.95566,0.94805,0.98188,0.61945,1.04517,2.61558,0.74446,0.0017228,0.0017228,0.0017228
16,268.727,1.4675,0.9241,0.92201,0.95338,0.93506,0.969,0.53017,1.2557,1.12489,0.77325,0.001703,0.001703,0.001703
