epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.377,1.4957,10.655,1.09894,0.89123,0.81844,0.90293,0.51895,0.84141,6.09837,0.71425,0.000662963,0.000662963,0.000662963
2,222.708,1.42154,1.20639,1.08834,0.75695,0.70904,0.78306,0.45891,0.85143,9.22433,0.72878,0.00130769,0.00130769,0.00130769
3,330.064,1.43774,1.20242,1.11982,0.88994,0.90881,0.92283,0.58147,0.71406,15.7063,0.65421,0.00193042,0.00193042,0.00193042
4,441.484,1.38551,1.31788,1.06849,0.95026,0.80403,0.87136,0.47524,nan,nan,nan,0.001901,0.001901,0.001901
5,554.28,1.49553,1.35641,1.12879,0.93972,0.7781,0.88337,0.53432,0.85106,1.46807,0.69521,0.001868,0.001868,0.001868
6,664.082,1.39986,1.0339,1.10732,0.94236,0.89516,0.9435,0.60892,0.78108,2.79516,0.64837,0.001835,0.001835,0.001835
7,771.296,1.36899,0.87959,1.08221,0.90359,0.94539,0.95847,0.59448,0.77023,5.79656,0.6426,0.001802,0.001802,0.001802
8,878.5,1.34886,0.85393,1.07541,0.91877,0.94533,0.96781,0.6303,0.74965,4.59414,0.64268,0.001769,0.001769,0.001769
9,1060.69,1.33804,0.90081,1.0664,0.96359,0.85879,0.94251,0.60646,0.72479,2.63481,0.62399,0.001736,0.001736,0.001736
10,1735.47,1.32029,0.91027,1.0517,0.94488,0.86744,0.94613,0.56859,0.76918,0.79291,0.63953,0.001703,0.001703,0.001703
11,2415.67,1.26651,0.82131,1.03507,0.96263,0.89072,0.95247,0.62229,0.67886,2.70109,0.61797,0.00167,0.00167,0.00167
12,3065.31,1.32046,0.86695,1.0547,0.968,0.92219,0.96488,0.63925,0.75596,2.47552,0.64901,0.001637,0.001637,0.001637
13,3161.57,1.28388,0.73338,1.06828,0.94004,0.94887,0.96765,0.63744,0.67974,1.04603,0.60908,0.001604,0.001604,0.001604
14,3247.27,1.26767,0.8223,1.02949,0.95172,0.90884,0.96939,0.6392,0.74581,1.44695,0.63901,0.001571,0.001571,0.001571
15,3333.17,1.24115,0.74398,1.02831,0.97892,0.88761,0.96669,0.61003,0.74209,0.89823,0.63288,0.001538,0.001538,0.001538
16,3603.36,1.20823,0.70842,1.02193,0.98193,0.93976,0.98525,0.66986,0.66214,0.53898,0.60833,0.001505,0.001505,0.001505
17,3683.84,1.16569,0.72058,0.97567,0.96606,0.90218,0.95869,0.66814,0.67995,0.52313,0.61611,0.001472,0.001472,0.001472
18,3763.71,1.15102,0.69522,0.9879,0.96413,0.92795,0.9705,0.59472,0.7523,2.3689,0.64674,0.001439,0.001439,0.001439
19,3843.61,1.18734,0.67143,1.01286,0.97718,0.94813,0.97753,0.67411,0.66452,1.08242,0.59606,0.001406,0.001406,0.001406
20,3923.48,1.15165,0.65713,0.97755,0.95753,0.97459,0.98692,0.66781,0.67442,2.20656,0.60913,0.001373,0.001373,0.001373
21,4003.76,1.11633,0.63387,0.97756,0.96788,0.95516,0.97738,0.65568,0.71283,2.76098,0.6185,0.00134,0.00134,0.00134
22,4083.93,1.13068,0.61609,0.98441,0.95721,0.967,0.98567,0.67109,0.65264,2.36093,0.6061,0.001307,0.001307,0.001307
23,4164.26,1.13297,0.67354,0.96942,0.9618,0.94334,0.97711,0.63657,0.76694,1.77998,0.65056,0.001274,0.001274,0.001274
24,4244.2,1.11546,0.59645,0.97725,0.97877,0.95965,0.98291,0.69894,0.62051,1.86425,0.57341,0.001241,0.001241,0.001241
25,4324.08,1.08316,0.60796,0.93541,0.9754,0.95389,0.97961,0.67585,0.63888,0.54278,0.5946,0.001208,0.001208,0.001208
26,4404.4,1.07391,0.59831,0.96499,0.97219,0.95101,0.97892,0.69632,0.59918,1.57695,0.57218,0.001175,0.001175,0.001175
27,4484.62,1.10504,0.6063,0.97749,0.96594,0.95101,0.98524,0.69404,0.63447,1.07194,0.58967,0.001142,0.001142,0.001142
28,4565.14,1.06583,0.56146,0.96246,0.96177,0.94238,0.97841,0.64156,0.67332,1.68817,0.60847,0.001109,0.001109,0.001109
29,4645.45,1.11653,0.59373,0.97449,0.98498,0.94523,0.98683,0.66475,0.65072,1.22565,0.58791,0.001076,0.001076,0.001076
30,4725.58,1.04695,0.62496,0.96269,0.98523,0.96123,0.98679,0.68103,0.6863,0.81938,0.60749,0.001043,0.001043,0.001043
31,4805.69,1.0529,0.55581,0.95519,0.98215,0.95156,0.98025,0.68517,0.64078,0.41187,0.59302,0.00101,0.00101,0.00101
32,4885.75,1.059,0.56809,0.93607,0.97362,0.9571,0.98277,0.704,0.61408,0.71371,0.58408,0.000977,0.000977,0.000977
33,4966.08,1.04406,0.52505,0.95734,0.9842,0.95389,0.97202,0.70103,0.59815,0.3379,0.57755,0.000944,0.000944,0.000944
34,5046.43,1.03587,0.56736,0.9496,0.97612,0.96254,0.98927,0.69194,0.62123,2.56486,0.59081,0.000911,0.000911,0.000911
35,5126.66,1.01762,0.53279,0.93006,0.98825,0.96961,0.99275,0.72274,0.59771,0.87635,0.56925,0.000878,0.000878,0.000878
36,5207.02,0.98278,0.51067,0.93604,0.97346,0.95146,0.98871,0.70874,0.61485,0.96493,0.59366,0.000845,0.000845,0.000845
37,5286.53,0.93446,0.50008,0.89465,0.9676,0.96542,0.98715,0.6924,0.65346,0.34333,0.58929,0.000812,0.000812,0.000812
38,5366.79,0.97266,0.51001,0.94745,0.96879,0.98416,0.99139,0.71532,0.60141,0.34904,0.58232,0.000779,0.000779,0.000779
39,5446.94,0.98098,0.50385,0.92684,0.98053,0.95677,0.99029,0.69774,0.6125,1.44444,0.58726,0.000746,0.000746,0.000746
40,5527,0.9773,0.51274,0.93127,0.97368,0.9594,0.98859,0.68865,0.62527,0.57875,0.57849,0.000713,0.000713,0.000713
41,5606.95,0.97038,0.51243,0.91982,0.98287,0.96254,0.99091,0.73181,0.57575,0.96347,0.56137,0.00068,0.00068,0.00068
42,5686.99,0.96106,0.48908,0.92586,0.98884,0.95389,0.99192,0.71272,0.60711,0.81835,0.57083,0.000647,0.000647,0.000647
43,5766.92,0.95643,0.48932,0.92361,0.9797,0.97375,0.99154,0.69005,0.62409,1.19835,0.5809,0.000614,0.000614,0.000614
44,5846.86,0.94521,0.49859,0.91943,0.98533,0.96752,0.99252,0.7293,0.58526,0.48172,0.56821,0.000581,0.000581,0.000581
45,5926.7,0.91512,0.47526,0.89934,0.96409,0.97406,0.99268,0.70475,0.60328,0.67835,0.57509,0.000548,0.000548,0.000548
46,6006.72,0.95447,0.48888,0.92908,0.97648,0.95736,0.98921,0.69878,0.62099,0.69942,0.58628,0.000515,0.000515,0.000515
47,6168.67,0.89911,0.46385,0.90819,0.97517,0.95677,0.99111,0.71885,0.58548,0.83797,0.56854,0.000482,0.000482,0.000482
48,6288.72,0.92343,0.45765,0.92647,0.95272,0.98717,0.99281,0.714,0.57522,0.57278,0.56981,0.000449,0.000449,0.000449
49,6368.67,0.91727,0.4513,0.92773,0.97654,0.95964,0.98938,0.73105,0.56674,0.64694,0.56387,0.000416,0.000416,0.000416
50,6448.52,0.91938,0.46327,0.91346,0.96598,0.98206,0.99283,0.72943,0.56351,0.55399,0.55937,0.000383,0.000383,0.000383
