epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3038,1.89648,5.23234,1.01559,0.18434,0.52381,0.14166,0.07465,1.1974,305.738,0.77433,0.000652174,0.000652174,0.000652174
2,44.9938,1.6014,1.30821,0.95734,0.80041,0.78788,0.85448,0.46959,1.24842,32.6032,0.80652,0.00130578,0.00130578,0.00130578
3,66.5109,1.59884,1.05667,0.97397,0.58784,0.24242,0.2634,0.14368,1.54221,125.064,0.80846,0.00194619,0.00194619,0.00194619
4,87.9049,1.64413,1.02472,0.9691,0.83412,0.80087,0.81932,0.46681,1.23828,10.0827,0.79472,0.0019406,0.0019406,0.0019406
5,109.394,1.58788,1.01352,0.96829,0.96444,0.93929,0.98086,0.56202,1.16149,2.54358,0.77851,0.0019208,0.0019208,0.0019208
6,130.771,1.43995,0.88993,0.92772,0.94425,0.90043,0.95615,0.56289,1.19721,3.38101,0.78299,0.001901,0.001901,0.001901
7,152.125,1.54415,0.83571,0.93577,0.96658,0.87635,0.94821,0.55088,1.21293,1.83458,0.78684,0.0018812,0.0018812,0.0018812
8,173.482,1.51923,0.9006,0.93994,0.91583,0.94205,0.95204,0.60116,1.10649,2.29414,0.75964,0.0018614,0.0018614,0.0018614
9,194.972,1.41815,0.79627,0.92006,0.96189,0.93939,0.97754,0.5822,1.06411,4.23765,0.75243,0.0018416,0.0018416,0.0018416
10,216.325,1.46134,0.87209,0.94008,0.85201,0.59307,0.71661,0.34246,1.44179,1.31568,0.84191,0.0018218,0.0018218,0.0018218
11,237.801,1.44457,0.81568,0.94376,0.92392,0.94372,0.962,0.58489,1.09809,1.0258,0.75903,0.001802,0.001802,0.001802
12,259.583,1.46672,0.79945,0.92119,0.89309,0.68711,0.78009,0.3906,1.31437,1.44874,0.80365,0.0017822,0.0017822,0.0017822
13,281.253,1.35053,0.74229,0.90386,0.95422,0.90233,0.97023,0.61272,1.06369,0.79201,0.75121,0.0017624,0.0017624,0.0017624
14,302.97,1.31303,0.6821,0.90107,0.93969,0.94372,0.9698,0.6155,1.03128,4.86733,0.74025,0.0017426,0.0017426,0.0017426
15,324.649,1.29659,0.68504,0.89716,0.94182,0.93506,0.96942,0.59151,1.10186,2.84015,0.75455,0.0017228,0.0017228,0.0017228
16,346.281,1.3461,0.714,0.90469,0.96801,0.9169,0.963,0.52287,1.20705,0.76379,0.76597,0.001703,0.001703,0.001703
17,367.819,1.33704,0.70702,0.91137,0.88757,0.92276,0.95927,0.53424,1.19086,0.7932,0.76506,0.0016832,0.0016832,0.0016832
18,389.477,1.30536,0.7578,0.87987,0.95581,0.92641,0.97645,0.54517,1.16984,0.74167,0.76239,0.0016634,0.0016634,0.0016634
19,411.227,1.26144,0.78154,0.88644,0.96355,0.9154,0.96327,0.59783,1.10046,0.68801,0.75071,0.0016436,0.0016436,0.0016436
20,432.888,1.39231,0.75854,0.89341,0.93755,0.92641,0.95093,0.62533,1.02154,5.28208,0.73614,0.0016238,0.0016238,0.0016238
21,454.608,1.29196,0.68798,0.91014,0.96202,0.96104,0.98533,0.62338,1.08886,1.59752,0.75311,0.001604,0.001604,0.001604
22,476.347,1.28836,0.66821,0.88938,0.98218,0.95417,0.98606,0.6494,0.98708,0.69381,0.72864,0.0015842,0.0015842,0.0015842
23,498.109,1.2559,0.65972,0.88169,0.95208,0.94805,0.97506,0.6248,0.99685,3.04974,0.73084,0.0015644,0.0015644,0.0015644
24,520.035,1.24444,0.64467,0.87955,0.9712,0.93506,0.96643,0.62554,1.00828,0.73685,0.73365,0.0015446,0.0015446,0.0015446
25,541.823,1.2053,0.63794,0.884,0.98419,0.93939,0.97864,0.62178,0.99794,1.31073,0.73061,0.0015248,0.0015248,0.0015248
26,563.579,1.19837,0.64472,0.87297,0.95284,0.96202,0.98807,0.67453,0.93628,1.54982,0.71913,0.001505,0.001505,0.001505
27,585.478,1.24865,0.64895,0.88406,0.96902,0.94782,0.98393,0.62261,1.03241,2.36465,0.73168,0.0014852,0.0014852,0.0014852
28,607.234,1.30969,0.65063,0.90437,0.99085,0.93805,0.98401,0.64143,1.03635,0.57325,0.73554,0.0014654,0.0014654,0.0014654
29,629.227,1.19709,0.61467,0.85981,0.99117,0.97185,0.99261,0.65521,0.96405,0.72102,0.72886,0.0014456,0.0014456,0.0014456
30,650.997,1.22555,0.62266,0.86457,0.98672,0.96537,0.9889,0.61274,1.07018,0.76762,0.73997,0.0014258,0.0014258,0.0014258
31,672.85,1.20733,0.62118,0.87991,0.97018,0.92641,0.9747,0.59146,1.07006,0.66773,0.74123,0.001406,0.001406,0.001406
32,694.692,1.2169,0.62474,0.87802,0.9733,0.94667,0.98735,0.64843,0.99017,0.5305,0.72775,0.0013862,0.0013862,0.0013862
33,716.375,1.20613,0.60551,0.86679,0.98656,0.95328,0.98629,0.65462,0.96789,0.50752,0.72217,0.0013664,0.0013664,0.0013664
34,738.244,1.18338,0.59353,0.87349,0.98249,0.9715,0.99234,0.66168,1.00606,0.5389,0.73112,0.0013466,0.0013466,0.0013466
35,760.012,1.1839,0.59864,0.86639,0.9693,0.94805,0.98826,0.66045,0.98281,1.21279,0.72367,0.0013268,0.0013268,0.0013268
36,781.882,1.16879,0.57703,0.8472,0.98523,0.97403,0.99152,0.60279,1.08788,0.70842,0.74141,0.001307,0.001307,0.001307
37,803.769,1.1228,0.61006,0.83766,0.97744,0.92641,0.98304,0.63268,0.99637,0.7311,0.72275,0.0012872,0.0012872,0.0012872
