epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8994,1.40435,5.60344,1.00282,0.31816,0.78386,0.31495,0.17513,0.6311,11.7002,0.53234,0.000664815,0.000664815,0.000664815
2,189.443,1.41379,1.52741,1.06555,0.90192,0.84726,0.9233,0.54369,0.62683,1.39552,0.52151,0.00130951,0.00130951,0.00130951
3,275.591,1.47587,1.58963,1.06351,0.91303,0.81686,0.89297,0.50891,0.66183,2.71819,0.55286,0.00193221,0.00193221,0.00193221
4,361.245,1.41418,1.36972,1.02274,0.92243,0.78963,0.88976,0.54804,0.63617,0.62809,0.52997,0.001901,0.001901,0.001901
5,448.145,1.47732,1.28224,1.07225,0.66317,0.72046,0.75033,0.33481,0.82746,0.79356,0.61426,0.001868,0.001868,0.001868
6,610.965,1.3526,1.13409,1.01158,0.88081,0.8098,0.89781,0.51486,0.67313,0.87629,0.54688,0.001835,0.001835,0.001835
7,702.133,1.40735,1.06472,1.03376,0.92408,0.89337,0.93964,0.48149,0.68566,0.85295,0.54394,0.001802,0.001802,0.001802
8,799.656,1.29484,0.97736,0.99587,0.94604,0.87032,0.9291,0.54573,0.62722,0.90578,0.52434,0.001769,0.001769,0.001769
9,890.314,1.30736,0.9415,1.00344,0.94569,0.93084,0.96053,0.6135,0.60536,1.46779,0.51456,0.001736,0.001736,0.001736
10,982.529,1.25795,0.99638,0.99603,0.89488,0.90774,0.95008,0.57864,0.60951,1.40705,0.50707,0.001703,0.001703,0.001703
11,1069.25,1.26633,0.93323,0.96433,0.93368,0.90202,0.92838,0.55951,0.64871,0.76226,0.53786,0.00167,0.00167,0.00167
12,1156.05,1.24875,0.89836,0.97384,0.96771,0.92219,0.97536,0.64452,0.5247,1.141,0.47219,0.001637,0.001637,0.001637
13,1242.71,1.20737,0.95682,0.95936,0.97023,0.93932,0.97892,0.6583,0.53442,0.70808,0.47066,0.001604,0.001604,0.001604
14,1329.41,1.17885,0.85221,0.93069,0.97997,0.93948,0.97062,0.6255,0.55244,0.52046,0.4826,0.001571,0.001571,0.001571
15,1415.87,1.19426,0.80166,0.94136,0.96081,0.91844,0.95729,0.59298,0.60207,0.54885,0.50472,0.001538,0.001538,0.001538
16,1502.43,1.20758,0.81373,0.95878,0.9832,0.89049,0.96638,0.63532,0.56693,0.35196,0.48808,0.001505,0.001505,0.001505
17,1589.06,1.1362,0.76419,0.91632,0.95552,0.92869,0.97899,0.63168,0.52458,0.45218,0.46621,0.001472,0.001472,0.001472
18,1676.01,1.16143,0.7498,0.94629,0.95943,0.91931,0.96959,0.66141,0.51312,0.35687,0.46631,0.001439,0.001439,0.001439
19,1762.71,1.14082,0.69612,0.92047,0.97638,0.9532,0.98671,0.66271,0.49906,0.39026,0.45947,0.001406,0.001406,0.001406
20,1850.63,1.06638,0.72939,0.87106,0.9621,0.9509,0.97455,0.65268,0.49138,0.69099,0.45979,0.001373,0.001373,0.001373
21,1937.11,1.07598,0.68602,0.89233,0.96969,0.92196,0.97858,0.64158,0.55776,0.47193,0.48408,0.00134,0.00134,0.00134
22,2023.79,1.03901,0.6439,0.86948,0.9537,0.94236,0.98015,0.64811,0.55263,0.72642,0.47626,0.001307,0.001307,0.001307
23,2110.15,1.091,0.59728,0.88863,0.97455,0.95101,0.98839,0.66834,0.50847,0.34903,0.46914,0.001274,0.001274,0.001274
24,2197.24,1.1094,0.65922,0.9377,0.97314,0.93971,0.98764,0.67807,0.50026,0.74087,0.45664,0.001241,0.001241,0.001241
25,2283.79,1.06642,0.64511,0.88188,0.98809,0.94236,0.97771,0.66959,0.49457,0.37214,0.46465,0.001208,0.001208,0.001208
26,2370.39,1.00673,0.60792,0.87991,0.97627,0.9486,0.98581,0.65725,0.52729,0.31889,0.47959,0.001175,0.001175,0.001175
27,2456.83,1.04831,0.65325,0.87755,0.96906,0.95677,0.98512,0.69202,0.47827,0.62705,0.45646,0.001142,0.001142,0.001142
28,2543.2,0.99943,0.61265,0.86186,0.98401,0.95677,0.99179,0.66591,0.52542,0.35554,0.4711,0.001109,0.001109,0.001109
29,2629.91,1.01076,0.60182,0.88379,0.9861,0.94524,0.98536,0.68699,0.49778,0.42439,0.45752,0.001076,0.001076,0.001076
30,2716.15,0.95552,0.53664,0.82581,0.96785,0.94813,0.97562,0.64955,0.50522,0.63361,0.45645,0.001043,0.001043,0.001043
31,2803.15,1.04343,0.59353,0.91499,0.98525,0.96236,0.98917,0.64338,0.51462,0.75066,0.46448,0.00101,0.00101,0.00101
32,2889.86,0.97545,0.57834,0.85109,0.95524,0.97118,0.98728,0.70149,0.45342,0.37169,0.4397,0.000977,0.000977,0.000977
33,2976.84,0.99151,0.53599,0.88365,0.9668,0.97118,0.98689,0.69665,0.45513,0.38981,0.44491,0.000944,0.000944,0.000944
34,3063.98,1.01508,0.6186,0.87749,0.97633,0.95089,0.98536,0.68732,0.47714,0.344,0.45035,0.000911,0.000911,0.000911
35,3150.5,0.98377,0.54896,0.85716,0.98783,0.93597,0.98851,0.71246,0.46218,0.36614,0.4475,0.000878,0.000878,0.000878
36,3237.11,0.92358,0.53772,0.84364,0.97952,0.96492,0.99184,0.70072,0.46126,0.52298,0.44555,0.000845,0.000845,0.000845
37,3324.33,0.95784,0.54634,0.86506,0.97188,0.95101,0.98364,0.69019,0.46692,0.40999,0.45275,0.000812,0.000812,0.000812
38,3411.47,0.93463,0.51023,0.84293,0.97292,0.95389,0.98764,0.69441,0.47248,0.32348,0.44844,0.000779,0.000779,0.000779
39,3499.06,0.89776,0.51454,0.83947,0.97099,0.97118,0.9883,0.69316,0.47209,0.33119,0.44604,0.000746,0.000746,0.000746
40,3588.16,0.9339,0.50658,0.83575,0.98219,0.95362,0.99006,0.69856,0.4711,0.53059,0.45885,0.000713,0.000713,0.000713
41,3675.11,0.91605,0.51608,0.85884,0.94969,0.9683,0.98924,0.71052,0.46472,0.38543,0.4466,0.00068,0.00068,0.00068
42,3761.79,0.88476,0.49337,0.82666,0.98618,0.93948,0.98932,0.70938,0.47113,0.32584,0.45261,0.000647,0.000647,0.000647
43,3848.65,0.88385,0.46651,0.82255,0.97778,0.96254,0.98977,0.72277,0.46335,0.25244,0.45051,0.000614,0.000614,0.000614
44,3935.31,0.8894,0.47089,0.83561,0.98785,0.94524,0.99018,0.70864,0.46706,0.34168,0.45253,0.000581,0.000581,0.000581
45,4022.05,0.89524,0.46669,0.84206,0.97581,0.97695,0.9929,0.72495,0.44101,0.3492,0.43954,0.000548,0.000548,0.000548
46,4108.56,0.87676,0.49021,0.8159,0.97954,0.96593,0.9911,0.68517,0.45374,0.33578,0.44661,0.000515,0.000515,0.000515
47,4195.73,0.87821,0.45876,0.8314,0.97081,0.9683,0.98728,0.72058,0.44844,0.40361,0.44009,0.000482,0.000482,0.000482
48,4282.58,0.86948,0.43982,0.8358,0.97379,0.96351,0.99154,0.71361,0.44299,0.27446,0.43866,0.000449,0.000449,0.000449
49,4369.48,0.85774,0.45059,0.82555,0.97937,0.95753,0.99174,0.70621,0.45352,0.29992,0.43908,0.000416,0.000416,0.000416
50,4455.76,0.8411,0.44619,0.81236,0.97286,0.97118,0.99156,0.72019,0.44016,0.27922,0.44096,0.000383,0.000383,0.000383
51,4546.78,0.63883,0.34021,0.63934,0.96596,0.98136,0.99262,0.70832,0.45975,0.35351,0.44607,0.00035,0.00035,0.00035
52,4631.25,0.65109,0.33662,0.65527,0.96846,0.97327,0.99133,0.71965,0.43073,0.34691,0.42947,0.000317,0.000317,0.000317
53,4715.63,0.61787,0.32593,0.64298,0.97656,0.96056,0.98261,0.6961,0.45983,0.26679,0.44163,0.000284,0.000284,0.000284
54,4800.34,0.64866,0.36388,0.65281,0.97116,0.97054,0.9898,0.71577,0.44346,0.2387,0.43956,0.000251,0.000251,0.000251
55,4885.24,0.61571,0.32256,0.65048,0.95785,0.98245,0.99178,0.70694,0.44532,0.33923,0.43889,0.000218,0.000218,0.000218
56,4970.08,0.63085,0.36225,0.66767,0.96432,0.97695,0.99085,0.71941,0.42631,0.34857,0.4326,0.000185,0.000185,0.000185
57,5054.89,0.6181,0.3119,0.65714,0.96819,0.96475,0.99127,0.71673,0.42908,0.28485,0.43527,0.000152,0.000152,0.000152
