epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.294,1.46732,8.56497,1.0736,0.39007,0.79656,0.36067,0.22191,0.93598,37.756,0.8045,0.000663704,0.000663704,0.000663704
2,206.667,1.48537,1.15445,1.13824,0.81324,0.78797,0.85967,0.50164,0.97305,5.50589,0.8232,0.00131939,0.00131939,0.00131939
3,307.532,1.47461,1.30003,1.1286,0.83911,0.81375,0.86143,0.48158,1.07381,1.52963,0.87038,0.00196409,0.00196409,0.00196409
4,408.446,1.49649,1.10503,1.14276,0.92597,0.88539,0.94688,0.58613,1.03843,4.96409,0.8685,0.0019505,0.0019505,0.0019505
5,508.555,1.42473,1.1128,1.12388,0.9415,0.87679,0.92169,0.588,0.95021,3.15873,0.82477,0.001934,0.001934,0.001934
6,609.234,1.41471,1.06099,1.08248,0.90875,0.84814,0.90849,0.51072,1.06984,5.35684,0.87329,0.0019175,0.0019175,0.0019175
7,710.049,1.39058,0.96111,1.09795,0.94652,0.86212,0.92868,0.5657,0.90344,1.59814,0.78506,0.001901,0.001901,0.001901
8,810.349,1.35365,0.91094,1.07121,0.89413,0.84702,0.91003,0.51877,0.94581,0.77313,0.80286,0.0018845,0.0018845,0.0018845
9,909.85,1.26728,0.78659,1.02304,0.95262,0.86416,0.93789,0.59228,0.90839,0.69794,0.79491,0.001868,0.001868,0.001868
10,1009.41,1.32303,0.89944,1.04973,0.95831,0.87393,0.93842,0.57078,0.93839,1.54776,0.7971,0.0018515,0.0018515,0.0018515
11,1109.18,1.32332,0.81588,1.05974,0.96685,0.91913,0.969,0.64972,0.87365,0.80965,0.77184,0.001835,0.001835,0.001835
12,1208.66,1.27317,0.89188,1.03601,0.9583,0.85602,0.90224,0.55883,0.93414,0.97421,0.79776,0.0018185,0.0018185,0.0018185
13,1310.82,1.24818,0.81161,1.02151,0.95546,0.90258,0.97287,0.66524,0.82355,1.13699,0.747,0.001802,0.001802,0.001802
14,1418.04,1.27432,0.78222,1.03004,0.91383,0.94556,0.97157,0.63671,0.82016,0.86277,0.75121,0.0017855,0.0017855,0.0017855
15,1834.39,1.23561,0.74823,1.02093,0.94764,0.93341,0.9697,0.66341,0.75733,1.73509,0.7325,0.001769,0.001769,0.001769
16,1934.42,1.20273,0.70352,1.00956,0.88803,0.91404,0.93852,0.57487,0.90814,9.02073,0.78355,0.0017525,0.0017525,0.0017525
17,2033.97,1.1807,0.69573,1.00593,0.96683,0.91861,0.96521,0.65392,0.79896,0.60464,0.74462,0.001736,0.001736,0.001736
18,2134.11,1.19336,0.68311,1.01128,0.95688,0.94556,0.97532,0.62845,0.83622,1.16273,0.75367,0.0017195,0.0017195,0.0017195
19,2352.99,1.21064,0.66291,1.00554,0.97838,0.92264,0.96867,0.63294,0.88203,0.77841,0.77314,0.001703,0.001703,0.001703
20,2452.92,1.21026,0.70808,1.00919,0.95782,0.9255,0.93701,0.61776,0.80164,1.02056,0.74555,0.0016865,0.0016865,0.0016865
